ClientAccountID,CurrencyPrimary,AssetClass,FXRateToBase,Symbol,Description,Conid,SecurityID,SecurityIDType,CUSIP,ISIN,UnderlyingConid,UnderlyingSymbol,Issuer,TradeID,ReportDate,TradeDate,TradeTime,SettleDateTarget,TransactionType,Exchange,Quantity,TradePrice,Multiplier,TradeMoney,Proceeds,Taxes,IBCommission,IBCommissionCurrency,ClosePrice,Open/CloseIndicator,Notes/Codes,CostBasis,FifoPnlRealized,MtmPnl,OrigTradePrice,OrigTradeDate,OrigTradeID,OrigOrderID,Strike,Expiry,Put/Call,Buy/Sell,IBOrderID,IBExecID,BrokerageOrderID,OrderReference,VolatilityOrderLink,OrderPlacementTime,ClearingFirmID,ExchOrderID,ExtExecID,OrderTime,OpenDateTime,HoldingPeriodDateTime,WhenRealized,WhenReopened,LevelOfDetail,ChangeInPrice,ChangeInQuantity,NetCash,OrderType
U1234567,USD,FUT,1,VXF3,VIX 16JAN13,106152254,,,,,13455763,VIX,,301616065,20121119,20121119,115136,20121120,ExchTrade,CFE,10,18.9,1000,189000,-189000,0,-19.7,USD,18.65,O,,189019.7,0,-2500,0,,,0,,1/16/2013,,BUY,233672124,0000d388.50aa2bd7.01.01,0008b710.0000e969.50a9c1ad.0001,,1428554414,20121119;114930,,N/A,:292433556.106696:1326800843.0,20121119;114930,--,--,--,--,EXECUTION,0,0,-2519.7,LMT
U1234567,USD,FUT,1,VXF3,VIX 16JAN13,106152254,,,,,13455763,VIX,,301617232,20121119,20121119,115810,20121120,ExchTrade,CFE,2,18.85,1000,37700,-37700,0,-3.94,USD,18.65,O,P;,37703.94,0,-400,0,,,0,,1/16/2013,,BUY,233672991,0000d388.50aa2bf5.01.01,0008b710.0000e969.50a9c1b5.0001,,1428554418,20121119;115235,,N/A,:292456991.106696:1326806338.0,20121119;115235,--,--,--,--,EXECUTION,0,0,-403.94,LMT
U1234567,USD,FUT,1,VXF3,VIX 16JAN13,106152254,,,,,13455763,VIX,,301617233,20121119,20121119,115810,20121120,ExchTrade,CFE,1,18.85,1000,18850,-18850,0,-1.97,USD,18.65,O,P;,18851.97,0,-200,0,,,0,,1/16/2013,,BUY,233672991,0000d388.50aa2bf7.01.01,0008b710.0000e969.50a9c1b5.0001,,1428554418,20121119;115235,,N/A,:292456991.106696:1326806378.0,20121119;115235,--,--,--,--,EXECUTION,0,0,-201.97,LMT
U1234567,USD,FUT,1,VXF3,VIX 16JAN13,106152254,,,,,13455763,VIX,,301617235,20121119,20121119,115810,20121120,ExchTrade,CFE,2,18.85,1000,37700,-37700,0,-3.94,USD,18.65,O,P;,37703.94,0,-400,0,,,0,,1/16/2013,,BUY,233672991,0000d388.50aa2bf6.01.01,0008b710.0000e969.50a9c1b5.0001,,1428554418,20121119;115235,,N/A,:292456991.106696:1326806358.0,20121119;115235,--,--,--,--,EXECUTION,0,0,-403.94,LMT
U1234567,USD,FUT,1,VXF3,VIX 16JAN13,106152254,,,,,13455763,VIX,,301617236,20121119,20121119,115810,20121120,ExchTrade,CFE,2,18.85,1000,37700,-37700,0,-3.94,USD,18.65,O,P;,37703.94,0,-400,0,,,0,,1/16/2013,,BUY,233672991,0000d388.50aa2bf8.01.01,0008b710.0000e969.50a9c1b5.0001,,1428554418,20121119;115235,,N/A,:292456991.106696:1326806438.0,20121119;115235,--,--,--,--,EXECUTION,0,0,-403.94,LMT
U1234567,USD,FUT,1,VXF3,VIX 16JAN13,106152254,,,,,13455763,VIX,,301617247,20121119,20121119,115823,20121120,ExchTrade,CFE,1,18.85,1000,18850,-18850,0,-1.97,USD,18.65,O,P;,18851.97,0,-200,0,,,0,,1/16/2013,,BUY,233672991,0000d388.50aa2bfa.01.01,0008b710.0000e969.50a9c1b5.0001,,1428554418,20121119;115235,,N/A,:292456991.106696:1326806768.0,20121119;115235,--,--,--,--,EXECUTION,0,0,-201.97,LMT
U1234567,USD,FUT,1,VXF3,VIX 16JAN13,106152254,,,,,13455763,VIX,,301617248,20121119,20121119,115823,20121120,ExchTrade,CFE,1,18.85,1000,18850,-18850,0,-1.97,USD,18.65,O,P;,18851.97,0,-200,0,,,0,,1/16/2013,,BUY,233672991,0000d388.50aa2bfc.01.01,0008b710.0000e969.50a9c1b5.0001,,1428554418,20121119;115235,,N/A,:292456991.106696:1326806776.0,20121119;115235,--,--,--,--,EXECUTION,0,0,-201.97,LMT
U1234567,USD,FUT,1,VXF3,VIX 16JAN13,106152254,,,,,13455763,VIX,,301617249,20121119,20121119,115823,20121120,ExchTrade,CFE,5,18.85,1000,94250,-94250,0,-9.85,USD,18.65,O,P;,94259.85,0,-1000,0,,,0,,1/16/2013,,BUY,233672991,0000d388.50aa2bfd.01.01,0008b710.0000e969.50a9c1b5.0001,,1428554418,20121119;115235,,N/A,:292456991.106696:1326806789.0,20121119;115235,--,--,--,--,EXECUTION,0,0,-1009.85,LMT
U1234567,USD,FUT,1,VXF3,VIX 16JAN13,106152254,,,,,13455763,VIX,,301617250,20121119,20121119,115823,20121120,ExchTrade,CFE,4,18.85,1000,75400,-75400,0,-7.88,USD,18.65,O,P;,75407.88,0,-800,0,,,0,,1/16/2013,,BUY,233672991,0000d388.50aa2bff.01.01,0008b710.0000e969.50a9c1b5.0001,,1428554418,20121119;115235,,N/A,:292456991.106696:1326806828.0,20121119;115235,--,--,--,--,EXECUTION,0,0,-807.88,LMT
U1234567,USD,FUT,1,VXF3,VIX 16JAN13,106152254,,,,,13455763,VIX,,301617258,20121119,20121119,115823,20121120,ExchTrade,CFE,1,18.85,1000,18850,-18850,0,-1.97,USD,18.65,O,P;,18851.97,0,-200,0,,,0,,1/16/2013,,BUY,233672991,0000d388.50aa2bfb.01.01,0008b710.0000e969.50a9c1b5.0001,,1428554418,20121119;115235,,N/A,:292456991.106696:1326806774.0,20121119;115235,--,--,--,--,EXECUTION,0,0,-201.97,LMT
